contractsn,MBA_technical,MBA_customer,MBA_Scheduling,MBA_Class,MBA_Service,mb_STV
51714730,0.0,0.0,0.0,0.0,0.0,0.0
51714611,0.0,0.0,0.0,0.0,0.0,0.0
51708960,0.0,0.0,0.0,0.0,0.0,0.0
51715359,0.0,0.0,0.0,0.0,0.0,0.0
51708859,0.0,0.0,0.0,0.0,0.0,0.0
51708927,0.0,0.0,0.0,0.0,0.0,0.0
51709036,0.0,0.0,0.0,0.0,0.0,0.0
51709225,0.0,0.0,0.0,0.0,0.0,0.0
51709229,0.0,0.0,0.0,0.0,0.0,0.0
51709361,0.0,0.0,0.0,0.0,0.0,0.0
51703347,0.0,0.0,1.0,0.0,0.0,0.0
51713764,0.0,0.0,0.0,0.0,0.0,0.0
51714704,0.0,0.0,0.0,0.0,0.0,0.0
51714721,0.0,0.0,0.0,0.0,0.0,0.0
51714940,0.0,0.0,0.0,0.0,0.0,0.0
51713605,0.0,0.0,0.0,0.0,0.0,0.0
51714400,0.0,0.0,0.0,0.0,0.0,0.0
51714532,0.0,0.0,0.0,0.0,0.0,0.0
51714602,0.0,0.0,0.0,0.0,0.0,0.0
51715418,0.0,0.0,0.0,0.0,0.0,0.0
51714861,0.0,0.0,0.0,0.0,0.0,0.0
51714934,0.0,0.0,0.0,0.0,0.0,0.0
51715025,0.0,0.0,0.0,0.0,0.0,0.0
51714504,0.0,0.0,0.0,0.0,0.0,0.0
51715337,0.0,0.0,0.0,0.0,0.0,0.0
51715462,0.0,0.0,0.0,0.0,0.0,0.0
51715538,0.0,0.0,0.0,0.0,0.0,0.0
51712634,0.0,0.0,0.0,0.0,0.0,0.0
51706298,0.0,0.0,0.0,0.0,0.0,0.0
51714158,0.0,0.0,0.0,0.0,0.0,0.0
51714208,0.0,0.0,0.0,0.0,0.0,0.0
51714990,0.0,0.0,0.0,0.0,0.0,0.0
51715405,0.0,0.0,0.0,0.0,0.0,0.0
51679717,0.0,0.0,0.0,0.0,0.0,0.0
51707035,0.0,0.0,0.0,0.0,0.0,0.0
51677574,0.0,0.0,0.0,0.0,0.0,0.0
51685741,0.0,0.0,0.0,0.0,0.0,0.0
51687736,0.0,0.0,0.0,0.0,0.0,0.0
51687925,0.0,0.0,0.0,0.0,0.0,0.0
51690447,0.0,0.0,0.0,0.0,0.0,0.0
51691187,0.0,0.0,0.0,0.0,0.0,0.0
51691287,0.0,0.0,0.0,0.0,0.0,0.0
51691312,0.0,0.0,0.0,0.0,0.0,0.0
51691319,0.0,0.0,0.0,0.0,0.0,0.0
51676803,0.0,0.0,0.0,0.0,0.0,0.0
51691805,0.0,0.0,0.0,0.0,0.0,0.0
51691887,0.0,0.0,0.0,0.0,0.0,17540.0
51691905,0.0,0.0,0.0,0.0,0.0,0.0
51692162,0.0,0.0,0.0,0.0,0.0,0.0
51686770,0.0,0.0,0.0,0.0,0.0,0.0
51686801,0.0,0.0,0.0,0.0,0.0,0.0
51686902,0.0,0.0,0.0,0.0,0.0,0.0
51686905,0.0,0.0,0.0,0.0,0.0,0.0
51682334,0.0,0.0,0.0,0.0,0.0,0.0
51684552,0.0,1.0,0.0,0.0,0.0,1.0
51683635,0.0,0.0,0.0,0.0,0.0,0.0
51684330,0.0,0.0,0.0,0.0,0.0,0.0
51694323,0.0,0.0,0.0,0.0,0.0,0.0
51694488,0.0,0.0,0.0,0.0,0.0,0.0
51694552,0.0,0.0,0.0,0.0,0.0,0.0
51648700,0.0,0.0,0.0,0.0,0.0,0.0
51712504,0.0,0.0,0.0,0.0,0.0,0.0
51714097,0.0,0.0,0.0,0.0,0.0,0.0
51714197,0.0,0.0,0.0,0.0,0.0,0.0
51714278,0.0,0.0,0.0,0.0,0.0,0.0
51714296,0.0,0.0,0.0,0.0,0.0,0.0
51713117,0.0,0.0,0.0,0.0,0.0,0.0
51712581,0.0,0.0,0.0,0.0,0.0,0.0
51713202,0.0,0.0,0.0,0.0,0.0,0.0
51712836,0.0,0.0,0.0,0.0,0.0,0.0
51713179,0.0,0.0,0.0,0.0,0.0,0.0
51713531,0.0,0.0,0.0,0.0,0.0,0.0
51713675,0.0,0.0,0.0,0.0,0.0,0.0
51707137,0.0,0.0,0.0,0.0,0.0,0.0
51713834,0.0,0.0,0.0,0.0,0.0,0.0
51713919,0.0,0.0,0.0,0.0,0.0,0.0
51688556,0.0,0.0,0.0,0.0,0.0,0.0
51688573,0.0,0.0,0.0,0.0,0.0,0.0
51714001,0.0,0.0,0.0,0.0,0.0,0.0
51713660,0.0,0.0,0.0,0.0,0.0,0.0
51713896,0.0,0.0,0.0,0.0,0.0,0.0
51714110,0.0,0.0,0.0,0.0,0.0,0.0
51713794,0.0,0.0,0.0,0.0,0.0,0.0
51713160,0.0,0.0,0.0,0.0,0.0,0.0
51713943,0.0,0.0,0.0,0.0,0.0,0.0
51714130,0.0,0.0,0.0,0.0,0.0,0.0
51713192,0.0,0.0,0.0,0.0,0.0,0.0
51711915,0.0,0.0,0.0,0.0,0.0,0.0
51714169,0.0,0.0,0.0,0.0,0.0,0.0
51713396,0.0,0.0,0.0,0.0,0.0,0.0
51713521,0.0,0.0,0.0,0.0,0.0,0.0
51713119,0.0,1.0,0.0,0.0,0.0,1.0
51709387,0.0,1.0,0.0,0.0,0.0,0.0
51712825,0.0,0.0,0.0,0.0,0.0,0.0
51713090,0.0,0.0,0.0,0.0,0.0,0.0
51713108,0.0,0.0,0.0,0.0,0.0,0.0
51714232,0.0,0.0,0.0,0.0,0.0,0.0
51713436,0.0,0.0,0.0,0.0,0.0,0.0
51713483,0.0,0.0,0.0,0.0,0.0,0.0
51713566,0.0,0.0,0.0,0.0,0.0,0.0
51712701,0.0,0.0,0.0,0.0,0.0,0.0
51711735,0.0,0.0,0.0,0.0,0.0,0.0
51712085,0.0,0.0,0.0,0.0,0.0,0.0
51714349,0.0,0.0,0.0,0.0,0.0,0.0
51712151,0.0,0.0,0.0,0.0,0.0,0.0
51714356,0.0,0.0,0.0,0.0,0.0,0.0
51713737,0.0,0.0,0.0,0.0,0.0,0.0
51713105,0.0,0.0,0.0,0.0,0.0,0.0
51713173,0.0,0.0,0.0,0.0,0.0,0.0
